millis,aX,aY,aZ,gX,gY,gZ
60103,-0.411,0.542,2.373,-11.414,-103.516,105.103
60112,-0.517,0.769,2.636,-7.568,-105.286,106.506
60121,-0.623,1.010,2.839,-5.920,-100.281,101.196
60130,-0.681,1.276,3.022,-6.897,-87.646,86.731
60139,-0.744,1.474,3.127,-11.414,-65.979,62.744
60147,-0.798,1.486,3.069,-17.029,-34.729,26.611
60156,-0.788,1.442,2.930,-24.231,-0.122,-11.292
60165,-0.811,1.451,2.789,-39.673,30.762,-39.368
60174,-0.884,1.520,2.623,-55.786,62.866,-62.073
60183,-1.025,1.571,2.377,-61.584,97.656,-84.351
60192,-1.175,1.513,2.095,-62.744,129.883,-107.666
60200,-1.277,1.390,1.822,-74.341,151.428,-131.470
60209,-1.382,1.248,1.569,-96.069,160.767,-154.175
60218,-1.493,1.164,1.333,-115.662,164.856,-174.011
60226,-1.596,1.087,1.115,-124.207,167.114,-194.702
60235,-1.681,1.057,0.872,-125.793,170.288,-215.698
60244,-1.776,1.041,0.612,-125.244,174.377,-237.488
60253,-1.829,0.962,0.324,-117.310,180.115,-259.766
60261,-1.841,0.877,0.087,-103.577,183.228,-279.236
60270,-1.830,0.812,-0.199,-91.553,183.655,-292.664
60279,-1.819,0.747,-0.559,-81.909,180.603,-300.842
60288,-1.753,0.691,-0.795,-71.045,168.152,-307.800
60297,-1.667,0.701,-0.909,-54.688,151.306,-313.293
60306,-1.580,0.802,-1.014,-26.245,138.428,-317.383
60314,-1.505,0.892,-1.132,11.414,133.545,-322.388
60323,-1.466,0.985,-1.225,42.175,132.629,-327.087
60331,-1.463,1.008,-1.309,60.608,129.822,-333.008
60340,-1.485,0.973,-1.416,75.378,125.732,-342.163
60349,-1.496,0.818,-1.515,94.116,118.896,-352.722
60358,-1.501,0.664,-1.607,112.183,110.046,-361.450
60367,-1.589,0.484,-1.770,128.845,101.074,-366.638
60375,-1.658,0.304,-1.994,145.447,89.722,-373.352
60384,-1.667,0.028,-2.165,158.447,73.730,-382.874
60393,-1.610,-0.284,-2.199,150.513,49.927,-388.733
60402,-1.596,-0.584,-2.142,115.295,18.250,-385.986
60410,-1.617,-0.919,-2.027,66.650,-15.564,-377.625
60419,-1.606,-1.200,-1.930,27.222,-51.392,-370.117
60428,-1.515,-1.442,-1.883,8.179,-83.252,-364.014
60437,-1.398,-1.678,-1.941,-6.897,-108.093,-355.957
60446,-1.297,-1.862,-2.008,-34.241,-134.338,-339.600
60454,-1.258,-1.993,-1.977,-71.472,-170.166,-315.308
60463,-1.250,-2.055,-1.772,-110.229,-212.585,-287.903
60472,-1.226,-2.121,-1.437,-139.771,-254.150,-261.658
60481,-1.223,-2.311,-0.952,-163.513,-288.025,-234.802
60489,-1.228,-2.490,-0.315,-189.575,-311.523,-202.148
60498,-1.300,-2.549,0.268,-215.454,-321.411,-162.415
60507,-1.424,-2.652,0.836,-236.511,-324.036,-121.826
60516,-1.540,-2.741,1.493,-252.441,-322.937,-79.224
60525,-1.588,-2.841,2.176,-255.676,-316.956,-34.912
60533,-1.629,-2.861,2.773,-239.502,-299.133,10.315
60542,-1.673,-2.794,3.177,-209.595,-270.447,55.847
60551,-1.729,-2.568,3.448,-173.096,-233.032,96.924
60560,-1.762,-2.302,3.553,-136.963,-193.298,131.226
60568,-1.705,-2.027,3.537,-112.976,-154.175,158.630
60577,-1.989,-1.814,2.915,-106.445,-127.930,185.120
60586,-1.522,-1.461,3.569,-117.310,-55.969,206.055
60595,-1.823,-1.370,2.739,-102.539,-75.439,217.041
60603,-1.919,-1.097,2.435,-101.868,-94.788,229.553
60612,-1.735,-0.755,2.526,-116.577,-35.217,246.643
60621,-1.781,-0.398,2.288,-130.676,-22.827,264.160
60630,-1.649,-0.034,2.357,-141.846,-4.395,270.996
60639,-1.574,0.184,2.228,-136.047,3.357,270.874
60647,-1.487,0.467,2.113,-126.526,5.310,270.142
60656,-1.360,0.726,2.020,-111.633,20.691,265.015
60665,-1.273,0.909,1.815,-86.304,37.842,260.803
60673,-1.162,1.077,1.649,-52.368,58.350,255.310
60682,-1.081,1.261,1.428,-20.203,72.876,250.427
60691,-0.990,1.425,1.199,-3.540,80.200,244.690
60700,-0.906,1.546,1.039,-2.136,82.642,234.131
60709,-0.771,1.606,0.890,-6.775,84.351,217.896
60718,-0.651,1.644,0.744,-14.587,86.792,201.477
60726,-0.554,1.669,0.630,-20.752,86.914,185.974
60735,-0.471,1.682,0.554,-17.761,84.534,169.800
60744,-0.398,1.685,0.548,-10.254,78.857,153.625
60753,-0.313,1.692,0.609,0.732,70.679,137.451
60761,-0.238,1.684,0.652,14.221,56.946,121.338
60770,-0.161,1.656,0.740,26.794,48.340,102.722
60779,-0.096,1.578,0.832,37.781,43.701,83.374
60788,-0.063,1.457,0.902,41.565,41.199,65.918
60796,-0.073,1.325,0.946,37.170,40.344,49.744
60805,-0.089,1.181,0.974,30.640,41.199,35.217
60814,-0.102,1.014,1.002,23.010,46.814,21.118
60823,-0.138,0.822,1.004,14.038,54.321,9.277
60832,-0.195,0.610,0.962,6.531,60.425,0.061
60840,-0.269,0.418,0.889,3.113,62.561,-5.554
60849,-0.307,0.285,0.857,3.540,56.885,-9.827
60858,-0.342,0.178,0.865,8.118,48.584,-12.878
60866,-0.351,0.097,0.888,13.000,40.833,-15.564
60875,-0.340,0.033,0.939,14.709,35.156,-17.944
60884,-0.327,-0.027,0.987,13.733,31.250,-19.592
60893,-0.303,-0.082,1.006,9.888,28.442,-20.508
60902,-0.286,-0.113,1.014,3.540,27.344,-20.630
60910,-0.262,-0.134,1.000,-2.380,29.419,-19.592
60919,-0.252,-0.157,0.951,-8.911,33.203,-16.968
60928,-0.236,-0.145,0.913,-16.174,34.668,-14.038
60937,-0.220,-0.137,0.873,-18.982,33.142,-11.780
60946,-0.202,-0.131,0.835,-18.066,29.785,-10.254
60954,-0.180,-0.114,0.832,-15.137,26.245,-8.850
60963,-0.151,-0.090,0.826,-11.353,21.851,-7.996
60972,-0.118,-0.070,0.835,-8.850,17.212,-7.690
60981,-0.099,-0.065,0.846,-7.507,13.611,-6.653
60989,-0.085,-0.059,0.877,-7.385,10.681,-5.676
60998,-0.080,-0.047,0.898,-7.996,8.789,-5.005
61007,-0.073,-0.037,0.907,-8.240,8.057,-5.005
61016,-0.080,-0.048,0.898,-8.362,8.423,-4.578
61024,-0.084,-0.053,0.894,-8.240,7.751,-4.395
61033,-0.086,-0.058,0.888,-6.348,6.531,-4.395
61042,-0.081,-0.061,0.884,-3.418,5.066,-4.211
61051,-0.067,-0.065,0.893,-1.465,2.258,-3.906
61059,-0.063,-0.066,0.911,-0.488,0.427,-2.869
61068,-0.058,-0.059,0.928,0.549,-0.977,-2.075
61077,-0.049,-0.053,0.953,2.197,-2.441,-1.648
61086,-0.048,-0.057,0.968,3.967,-1.953,-0.854
61095,-0.042,-0.061,0.989,3.906,-1.038,0.244
61103,-0.040,-0.051,0.998,2.991,-0.366,1.709
61112,-0.040,-0.042,0.994,2.625,0.366,2.625
61121,-0.034,-0.029,0.988,1.526,1.343,2.808
61130,-0.035,-0.024,0.975,1.038,1.465,3.235
