aX,aY,aZ,gX,gY,gZ,millis
0.299,0.046,0.85,253.662,-101.257,47.424,6818
0.387,0.183,0.845,23.926,-8.972,32.41,6827
0.459,0.344,0.895,-19.653,2.502,35.95,6836
0.473,0.347,0.932,9.277,-15.076,38.574,6845
0.385,0.179,0.927,30.518,-24.597,33.325,6853
0.267,0.05,0.864,42.969,-28.931,25.024,6862
0.289,0.084,0.827,50.293,-32.166,13.184,6871
0.279,0.147,0.814,54.26,-32.471,3.479,6880
0.26,0.158,0.781,55.298,-26.978,2.93,6889
0.302,0.207,0.757,51.636,-15.503,9.216,6897
0.347,0.254,0.798,47.974,-2.502,20.386,6906
0.338,0.235,0.851,51.941,8.484,34.18,6914
0.38,0.222,0.923,61.462,15.076,41.931,6923
0.382,0.126,0.964,72.937,18.86,42.603,6932
0.272,0.04,0.996,82.458,25.452,37.842,6941
0.133,-0.051,0.994,93.689,34.729,32.166,6950
0.245,0.02,0.904,107.849,50.903,28.503,6958
0.428,0.074,0.808,112.244,67.993,27.344,6967
0.424,0.231,0.732,100.037,75.989,28.198,6976
0.316,0.099,0.839,69.641,76.233,47.607,6985
0.409,0.07,0.929,45.41,61.89,72.205,6994
0.384,0.171,0.92,40.833,42.725,87.158,7002
0.422,0.176,0.879,37.354,21.729,81.604,7011
0.459,0.074,0.967,30.579,7.141,63.354,7020
0.377,0.081,0.98,20.996,1.648,46.326,7029
0.341,0.12,0.952,9.766,4.211,37.17,7038
0.35,0.051,0.894,-4.15,13.977,37.476,7046
0.392,0.016,0.868,-22.766,20.996,38.574,7055
0.396,-0.005,0.91,-40.71,22.461,38.33,7064
0.437,0.007,0.912,-52.124,23.071,37.537,7073
0.428,0.033,0.93,-56.396,18.86,35.278,7082
0.336,0.163,1.091,-53.833,13.489,30.884,7090
0.385,0.363,1.036,-43.091,20.569,21.484,7099
0.412,0.353,1.139,-17.7,34.058,7.996,7107
0.461,0.248,0.966,13.0,53.284,0.854,7116
0.464,0.12,0.862,24.292,63.477,-1.831,7125
0.465,0.103,0.839,21.545,58.472,-0.488,7134
0.454,0.136,0.835,12.451,51.758,-0.122,7143
0.462,0.15,0.819,3.296,45.898,-1.892,7151
0.507,0.18,0.836,2.014,40.894,-2.808,7160
0.552,0.213,0.819,5.493,34.18,-3.967,7169
0.554,0.212,0.814,11.047,25.513,-6.592,7178
0.558,0.202,0.787,15.32,15.808,-7.629,7187
0.529,0.139,0.693,11.23,8.728,-8.301,7195
0.514,0.169,0.61,-3.845,4.456,-8.057,7204
0.555,0.215,0.566,-31.555,5.127,-9.46,7213
0.571,0.234,0.626,-64.453,6.409,-13.916,7222
0.549,0.242,0.757,-90.332,6.775,-18.799,7230
0.498,0.244,0.987,-101.501,7.08,-22.034,7239
0.482,0.189,1.059,-90.21,15.381,-19.897,7248
0.464,0.157,0.893,-64.758,21.545,-12.634,7257
0.463,0.172,0.852,-43.762,14.221,-8.423,7266
0.462,0.173,0.834,-28.992,5.615,-4.883,7274
0.5,0.175,0.71,-21.606,-0.488,-1.404,7283
0.513,0.221,0.67,-26.917,-9.094,-1.343,7292
0.5,0.239,0.724,-38.574,-21.057,-4.944,7301
0.453,0.191,0.817,-46.753,-31.372,-8.118,7309
0.419,0.148,0.894,-48.096,-33.142,-8.606,7318
0.406,0.14,0.932,-42.542,-32.043,-7.324,7327
0.399,0.156,0.901,-32.776,-28.503,-4.822,7336
0.393,0.19,0.867,-21.912,-29.907,-2.869,7345
0.369,0.18,0.835,-12.878,-34.18,-1.282,7353
0.4,0.213,0.874,-5.798,-39.734,1.648,7362
0.382,0.225,0.945,-0.916,-44.8,3.662,7371
0.386,0.223,0.973,8.057,-41.87,5.31,7380
0.385,0.202,0.925,20.813,-37.231,6.165,7388
0.407,0.192,0.859,27.588,-36.133,5.127,7397
0.415,0.18,0.792,22.583,-35.217,1.343,7406
0.361,0.193,0.784,7.202,-31.25,-3.418,7414
0.337,0.191,0.831,-7.69,-22.034,-7.263,7423
0.362,0.182,0.878,-11.902,-11.902,-8.118,7432
0.369,0.185,0.885,-7.385,-6.897,-6.714,7441
0.35,0.183,0.867,0.61,-7.019,-4.333,7449
0.359,0.201,0.827,8.057,-8.606,-1.648,7458
0.352,0.216,0.79,13.672,-10.681,1.221,7467
0.347,0.205,0.785,20.02,-14.893,4.089,7476
0.366,0.163,0.793,24.841,-19.165,6.836,7485
0.367,0.152,0.809,25.269,-24.841,7.751,7493
0.381,0.169,0.812,21.301,-30.09,7.141,7502
0.378,0.203,0.821,12.512,-32.715,4.395,7511
0.359,0.219,0.845,3.357,-31.616,0.854,7520
0.342,0.195,0.87,-0.732,-28.442,-0.854,7529
0.325,0.169,0.894,-0.793,-26.123,0.427,7537
0.303,0.151,0.901,1.77,-26.001,4.211,7546
0.291,0.135,0.903,6.165,-27.649,10.132,7555
0.283,0.143,0.917,13.245,-29.053,16.602,7564
0.319,0.173,0.89,23.132,-29.602,22.461,7573
