aX,aY,aZ,gX,gY,gZ,millis
0.982,1.111,0.704,-6.775,0.793,39.124,3055.0
0.96,1.139,0.773,-5.005,-5.615,17.09,3064.0
0.894,1.108,0.825,-2.136,-7.263,-4.456,3073.0
0.827,1.056,0.844,0.732,-5.005,-22.156,3082.0
0.775,0.998,0.834,1.526,0.488,-36.072,3090.0
0.708,0.96,0.808,0.0,7.629,-48.767,3099.0
0.635,0.888,0.804,-2.625,14.526,-62.134,3108.0
0.557,0.771,0.81,-6.897,18.738,-73.792,3117.0
0.468,0.656,0.818,-14.099,21.667,-83.679,3126.0
0.336,0.561,0.837,-23.865,25.94,-92.773,3134.0
0.328,0.44,0.85,-32.898,32.654,-104.675,3143.0
0.259,0.304,0.879,-39.551,38.147,-112.183,3152.0
0.198,0.177,0.905,-45.715,39.368,-117.737,3161.0
0.112,0.039,0.948,-48.462,39.612,-122.62,3170.0
0.061,-0.165,0.975,-48.523,36.072,-126.404,3178.0
0.015,-0.412,1.072,-46.082,35.278,-128.235,3187.0
-0.02,-0.664,1.165,-45.349,38.696,-130.249,3196.0
-0.093,-0.892,1.257,-48.706,46.387,-135.803,3205.0
-0.217,-1.08,1.335,-53.589,53.955,-146.24,3213.0
-0.438,-1.28,1.37,-53.955,55.237,-157.471,3222.0
-0.668,-1.505,1.402,-48.218,52.551,-162.537,3231.0
-0.825,-1.738,1.442,-35.95,49.011,-157.532,3240.0
-0.921,-1.917,1.417,-16.052,44.373,-139.832,3248.0
-0.922,-2.045,1.321,6.592,41.626,-110.535,3257.0
-0.854,-2.114,1.206,25.085,38.818,-73.059,3266.0
-0.774,-2.054,1.12,36.133,33.936,-31.921,3275.0
-0.678,-1.937,1.072,44.556,29.114,9.949,3284.0
-0.593,-1.774,1.043,52.429,21.851,53.406,3292.0
-0.512,-1.593,1.017,63.354,13.733,97.595,3301.0
-0.408,-1.365,0.967,76.355,4.883,141.113,3310.0
-0.266,-1.01,0.905,87.83,-3.845,183.96,3319.0
-0.043,-0.563,0.865,98.572,-12.268,222.839,3327.0
0.225,-0.117,0.773,110.046,-23.682,249.146,3336.0
0.466,0.297,0.706,117.737,-36.804,256.592,3345.0
0.646,0.586,0.703,114.685,-48.035,247.437,3354.0
0.781,0.739,0.769,100.769,-52.612,229.248,3362.0
0.872,0.848,0.815,83.069,-49.255,207.397,3371.0
0.916,0.998,0.87,63.66,-43.518,185.791,3380.0
0.952,1.176,0.917,47.546,-37.659,166.565,3388.0
1.003,1.358,0.911,40.771,-32.104,151.062,3397.0
1.06,1.548,0.858,42.664,-30.701,134.705,3406.0
1.079,1.664,0.775,47.791,-32.349,116.638,3415.0
1.13,1.758,0.7,48.95,-33.569,96.619,3424.0
1.162,1.825,0.642,44.189,-36.56,71.35,3432.0
1.127,1.792,0.63,35.889,-41.138,40.283,3441.0
1.045,1.697,0.63,27.527,-44.983,9.338,3450.0
0.932,1.597,0.603,19.531,-44.8,-17.761,3459.0
0.803,1.496,0.571,9.216,-41.138,-41.992,3468.0
0.689,1.362,0.558,-6.348,-32.776,-64.331,3476.0
0.559,1.192,0.562,-27.405,-20.081,-85.571,3485.0
0.417,1.016,0.572,-53.955,-1.892,-104.431,3494.0
0.338,0.863,0.582,-83.191,21.179,-117.615,3503.0
0.309,0.725,0.561,-109.192,42.358,-125.427,3511.0
0.36,0.582,0.554,-128.052,54.504,-131.409,3520.0
0.428,0.398,0.578,-137.085,53.894,-138.428,3529.0
0.453,0.147,0.642,-136.353,39.978,-148.01,3538.0
0.397,-0.167,0.807,-130.92,16.907,-158.936,3547.0
0.175,-0.507,1.072,-126.282,-9.338,-168.64,3555.0
-0.14,-0.865,1.398,-125.244,-29.663,-175.354,3564.0
-0.504,-1.213,1.704,-128.052,-36.682,-178.65,3573.0
-0.821,-1.549,2.004,-132.263,-25.513,-176.758,3582.0
-1.022,-1.907,2.193,-132.629,-0.427,-166.931,3590.0
-1.119,-2.191,2.344,-125.732,27.405,-146.362,3599.0
-1.157,-2.414,2.322,-98.389,40.405,-110.291,3608.0
-1.164,-2.464,2.189,-58.899,43.091,-62.744,3617.0
-1.099,-2.478,2.071,-24.78,37.17,-7.324,3625.0
-1.029,-2.358,1.993,6.042,27.527,47.424,3634.0
-0.971,-2.136,1.886,34.79,19.287,99.121,3643.0
-0.896,-1.848,1.728,61.096,17.761,144.165,3652.0
-0.763,-1.522,1.532,83.679,22.217,182.922,3660.0
-0.624,-1.174,1.338,97.534,29.846,214.539,3669.0
-0.432,-0.737,1.211,97.717,35.461,237.0,3678.0
-0.276,-0.271,1.149,93.689,39.795,250.732,3687.0
-0.074,0.173,1.143,93.323,40.955,259.033,3695.0
0.123,0.544,1.093,95.215,37.72,262.878,3704.0
0.304,0.923,1.083,93.75,36.133,260.071,3713.0
0.451,1.251,1.03,91.553,37.903,249.878,3722.0
0.584,1.597,0.912,90.027,44.678,233.826,3730.0
0.7,1.899,0.71,88.928,50.476,211.121,3739.0
0.807,2.127,0.55,84.839,46.692,182.556,3748.0
0.824,2.245,0.294,75.317,32.349,153.076,3757.0
0.966,2.441,0.196,55.603,24.78,126.831,3766.0
1.091,2.529,0.134,34.058,16.968,97.534,3774.0
1.123,2.559,0.14,19.653,7.751,59.326,3783.0
1.076,2.534,0.136,12.451,-2.319,20.691,3792.0
1.041,2.446,0.114,11.169,-12.512,-12.756,3801.0
0.936,2.303,0.098,9.094,-23.254,-44.922,3810.0
0.82,2.109,0.072,6.775,-30.396,-75.989,3818.0
0.704,1.859,0.047,1.587,-37.048,-103.149,3827.0
0.591,1.606,-0.007,-9.216,-39.917,-127.136,3836.0
0.502,1.369,-0.036,-28.809,-40.039,-147.766,3845.0
0.413,1.12,0.027,-55.42,-42.419,-165.283,3853.0
0.38,0.854,0.208,-78.491,-45.166,-181.091,3862.0
0.371,0.585,0.36,-92.468,-49.438,-192.81,3871.0
0.317,0.331,0.541,-99.06,-56.702,-203.369,3880.0
0.208,0.041,0.716,-98.022,-69.763,-213.074,3889.0
0.059,-0.279,0.882,-90.332,-89.478,-220.886,3897.0
-0.136,-0.624,1.063,-79.834,-106.934,-226.135,3906.0
-0.383,-0.952,1.232,-70.679,-125.183,-228.516,3915.0
-0.556,-1.269,1.424,-61.279,-143.494,-227.234,3924.0
-0.715,-1.523,1.566,-51.636,-158.691,-224.976,3932.0
-0.956,-1.884,1.699,-49.744,-167.236,-221.802,3941.0
-1.134,-2.185,1.963,-51.331,-163.879,-211.731,3950.0
-1.418,-2.384,2.006,-36.621,-158.875,-192.81,3958.0
-1.6,-2.503,1.956,-21.484,-142.273,-158.813,3967.0
-1.68,-2.499,1.859,-13.428,-117.615,-111.084,3976.0
-1.636,-2.418,1.629,-2.93,-95.642,-52.979,3985.0
-1.501,-2.169,1.383,5.31,-82.275,5.249,3993.0
-1.298,-1.862,1.223,2.258,-73.792,56.946,4002.0
-1.129,-1.537,1.1,-3.723,-65.186,98.267,4011.0
-0.939,-1.239,1.028,-7.935,-54.443,127.014,4020.0
-0.82,-0.921,1.001,-12.451,-41.931,146.179,4029.0
-0.775,-0.619,0.982,-19.348,-27.771,162.17,4038.0
-0.75,-0.302,1.047,-27.161,-8.911,181.763,4046.0
-0.603,-0.015,1.04,-28.931,10.742,201.294,4055.0
-0.383,0.285,0.962,-29.358,28.198,218.872,4064.0
-0.228,0.717,0.944,-36.743,35.889,227.783,4073.0
-0.048,1.084,1.009,-40.1,38.574,232.056,4081.0
0.144,1.332,1.027,-31.006,40.405,228.21,4090.0
0.433,1.752,1.054,-10.193,29.297,186.462,4607.0
0.505,1.972,1.138,1.465,19.592,159.058,4616.0
