aX,aY,aZ,gX,gY,gZ,millis
0.154,0.15,2.347,-2.075,42.786,54.993,14847.0
0.192,0.158,2.318,15.93,62.073,55.603,14856.0
0.218,0.165,2.23,29.846,82.886,54.382,14865.0
0.216,0.206,2.106,39.001,103.149,51.025,14874.0
0.228,0.23,1.99,44.067,123.84,47.058,14883.0
0.248,0.246,1.875,45.654,141.907,44.128,14891.0
0.267,0.272,1.754,47.119,154.968,40.405,14900.0
0.285,0.29,1.63,50.964,165.588,35.217,14909.0
0.263,0.283,1.496,57.068,172.974,29.602,14918.0
0.242,0.255,1.344,62.561,178.955,26.306,14926.0
0.248,0.219,1.198,63.843,185.12,24.536,14935.0
0.249,0.212,1.088,60.73,189.026,22.156,14944.0
0.233,0.207,0.998,57.678,188.904,18.677,14953.0
0.194,0.177,0.898,57.068,186.279,14.526,14962.0
0.148,0.134,0.799,57.007,182.983,10.681,14970.0
0.13,0.098,0.701,55.603,180.664,7.69,14979.0
0.121,0.092,0.58,51.636,178.284,4.211,14987.0
0.113,0.088,0.514,45.959,175.232,0.0,14996.0
0.133,0.061,0.466,43.457,168.335,-2.747,15005.0
0.128,0.009,0.405,44.006,158.203,-4.883,15014.0
0.093,-0.034,0.335,43.945,148.254,-7.751,15023.0
0.055,-0.063,0.262,41.748,141.418,-9.094,15032.0
0.025,-0.073,0.176,37.781,137.39,-9.46,15040.0
0.001,-0.075,0.082,33.936,133.301,-10.071,15049.0
-0.017,-0.097,-0.022,32.593,126.343,-10.254,15058.0
-0.025,-0.142,-0.14,33.02,117.249,-9.705,15066.0
-0.034,-0.176,-0.274,32.104,107.422,-8.118,15075.0
-0.011,-0.212,-0.388,28.198,96.436,-4.272,15084.0
0.027,-0.222,-0.495,22.034,82.642,0.916,15093.0
0.058,-0.21,-0.565,14.709,65.552,6.958,15102.0
0.082,-0.178,-0.61,9.338,46.936,12.024,15110.0
0.092,-0.171,-0.663,7.996,26.367,15.076,15119.0
0.108,-0.173,-0.727,8.179,4.089,17.883,15128.0
0.131,-0.176,-0.784,4.089,-16.602,19.531,15137.0
0.12,-0.145,-0.797,-5.127,-36.499,18.677,15146.0
0.102,-0.134,-0.765,-14.709,-56.702,16.846,15154.0
0.09,-0.154,-0.73,-20.874,-75.928,16.541,15163.0
0.107,-0.165,-0.676,-26.428,-93.079,17.944,15171.0
0.131,-0.173,-0.613,-31.921,-109.802,19.836,15180.0
0.151,-0.155,-0.543,-36.072,-127.319,20.935,15189.0
0.14,-0.139,-0.469,-38.086,-146.606,21.606,15198.0
0.117,-0.142,-0.378,-40.833,-166.382,22.034,15207.0
0.105,-0.152,-0.25,-46.57,-184.265,23.193,15215.0
0.146,-0.148,-0.069,-53.406,-200.928,26.611,15224.0
0.184,-0.118,0.172,-57.739,-220.215,31.921,15233.0
0.162,-0.079,0.416,-55.725,-244.507,37.842,15242.0
0.149,-0.042,0.687,-48.645,-268.372,43.945,15251.0
0.121,-0.004,1.001,-40.283,-290.649,48.157,15260.0
0.036,0.004,1.349,-32.776,-308.594,47.913,15268.0
-0.065,-0.034,1.692,-25.33,-315.186,42.725,15277.0
-0.153,-0.098,1.936,-18.372,-304.504,36.011,15285.0
-0.203,-0.142,2.104,-17.517,-277.039,30.334,15294.0
-0.238,-0.095,2.147,-25.635,-239.746,26.428,15303.0
-0.199,-0.052,2.308,-35.706,-201.172,23.926,15312.0
-0.228,-0.051,2.375,-38.879,-188.721,20.386,15321.0
-0.306,-0.115,2.406,-34.18,-182.983,18.372,15330.0
-0.391,-0.191,2.486,-29.297,-168.823,17.517,15338.0
-0.422,-0.262,2.564,-27.527,-146.179,21.179,15347.0
-0.42,-0.265,2.682,-29.602,-117.798,31.494,15356.0
-0.395,-0.191,2.765,-31.738,-85.083,46.387,15365.0
-0.291,-0.096,2.893,-30.334,-53.162,63.171,15374.0
-0.204,0.004,2.919,-25.024,-28.015,79.834,15382.0
-0.091,0.099,2.889,-14.526,-0.916,94.116,15391.0
0.016,0.216,2.797,-3.479,26.306,106.323,15399.0
0.153,0.352,2.709,8.179,54.932,113.831,15408.0
0.289,0.49,2.579,21.606,78.979,113.647,15417.0
0.396,0.581,2.45,32.166,97.107,103.699,15426.0
0.462,0.619,2.338,33.813,113.831,85.51,15435.0
0.481,0.586,2.26,28.992,130.798,63.843,15443.0
0.456,0.522,2.19,21.362,150.269,42.847,15452.0
0.413,0.458,2.123,13.977,172.302,24.963,15461.0
0.376,0.392,2.052,10.071,193.115,12.207,15470.0
0.33,0.331,1.966,9.644,209.351,3.662,15479.0
0.273,0.294,1.856,11.047,222.473,-2.38,15488.0
0.209,0.277,1.726,12.756,234.375,-7.019,15496.0
0.136,0.26,1.59,15.259,243.103,-12.024,15505.0
0.07,0.227,1.418,17.761,248.901,-17.395,15513.0
0.03,0.236,1.258,16.052,253.235,-23.437,15522.0
-0.007,0.272,1.142,12.024,252.625,-29.846,15531.0
-0.036,0.278,1.053,12.756,245.667,-35.767,15540.0
-0.056,0.215,0.951,19.104,235.779,-39.673,15549.0
-0.098,0.167,0.798,25.513,228.271,-42.419,15557.0
-0.114,0.116,0.664,26.794,226.624,-44.25,15566.0
-0.112,0.077,0.531,25.024,226.746,-45.166,15575.0
-0.143,0.041,0.34,22.705,223.572,-45.837,15584.0
-0.114,0.003,0.157,21.79,220.886,-45.166,15593.0
-0.067,-0.008,0.002,19.775,215.454,-43.152,15602.0
-0.037,-0.023,-0.198,17.883,203.613,-39.978,15610.0
0.027,-0.023,-0.448,12.451,188.477,-38.94,15619.0
0.086,0.007,-0.57,-0.854,171.204,-41.443,15628.0
0.089,-0.002,-0.627,-10.193,151.123,-47.485,15636.0
0.063,-0.087,-0.705,-9.705,132.507,-53.223,15645.0
0.039,-0.165,-0.804,-8.362,117.92,-55.298,15654.0
0.028,-0.217,-0.904,-9.949,104.553,-52.917,15663.0
0.024,-0.211,-0.971,-12.39,86.853,-47.791,15672.0
-0.005,-0.169,-0.977,-13.062,61.096,-41.138,15680.0
-0.063,-0.152,-0.943,-9.338,30.945,-32.41,15689.0
-0.104,-0.152,-0.908,-3.906,3.174,-21.484,15698.0
-0.136,-0.157,-0.881,-1.953,-18.311,-10.925,15707.0
-0.168,-0.148,-0.858,-5.127,-33.875,-3.906,15715.0
-0.194,-0.137,-0.818,-11.047,-45.959,0.0,15724.0
-0.206,-0.153,-0.774,-18.127,-58.35,3.235,15733.0
-0.203,-0.149,-0.74,-28.076,-71.594,6.165,15742.0
-0.198,-0.082,-0.655,-40.161,-85.999,8.362,15750.0
-0.194,-0.044,-0.54,-47.485,-102.783,9.399,15759.0
-0.193,-0.069,-0.44,-46.082,-118.835,9.705,15768.0
-0.224,-0.138,-0.348,-41.931,-132.446,10.071,15777.0
-0.238,-0.204,-0.245,-42.175,-141.418,11.719,15786.0
-0.234,-0.267,-0.147,-45.227,-146.851,15.259,15794.0
-0.204,-0.307,-0.054,-46.997,-154.114,20.264,15803.0
-0.155,-0.288,0.049,-46.753,-164.856,27.527,15812.0
-0.118,-0.24,0.201,-42.847,-181.763,35.461,15820.0
-0.103,-0.203,0.352,-33.02,-203.796,42.786,15830.0
-0.083,-0.178,0.468,-19.775,-226.44,48.706,15838.0
-0.085,-0.127,0.612,-11.047,-244.812,51.331,15847.0
-0.183,-0.092,0.812,-11.047,-260.681,46.509,15856.0
-0.276,-0.121,1.02,-14.893,-267.395,37.231,15865.0
-0.33,-0.187,1.231,-20.752,-262.756,27.832,15874.0
